,paperId,abstract,authors,citationCount,citationStyles,citations,journal,referenceCount,title,year
1247,653542a3e404962bff36eded6369241bb44aa29c,,"[{'authorId': '1894671', 'name': 'Ramin Yaghoubzadeh'}, {'authorId': '2054271039', 'name': 'Marcel Kramer'}, {'authorId': '1725787', 'name': 'K. Pitsch'}, {'authorId': '5864138', 'name': 'S. Kopp'}]",107.0,"{'bibtex': '@Inproceedings{Yaghoubzadeh2013VirtualAA,\n author = {Ramin Yaghoubzadeh and Marcel Kramer and K. Pitsch and S. Kopp},\n pages = {79-91},\n title = {Virtual Agents as Daily Assistants for Elderly or Cognitively Impaired People - Studies on Acceptance and Interaction Feasibility},\n year = {2013}\n}\n'}",,{'pages': '79-91'},20.0,Virtual Agents as Daily Assistants for Elderly or Cognitively Impaired People - Studies on Acceptance and Interaction Feasibility,2013.0
1248,6549a9d851a16f356d64ebde9ab7743d7639d67a,,"[{'authorId': '145248978', 'name': 'P. Philip'}, {'authorId': '1398530312', 'name': 'J. Micoulaud-Franchi'}, {'authorId': '1813095', 'name': 'P. Sagaspe'}, {'authorId': '1761859', 'name': 'E. D. Sevin'}, {'authorId': '2074620344', 'name': 'J. Olive'}, {'authorId': '2759597', 'name': 'S. Bioulac'}, {'authorId': '48763838', 'name': 'A. Sauteraud'}]",99.0,"{'bibtex': '@Article{Philip2017VirtualHA,\n author = {P. Philip and J. Micoulaud-Franchi and P. Sagaspe and E. D. Sevin and J. Olive and S. Bioulac and A. Sauteraud},\n journal = {Scientific Reports},\n title = {Virtual human as a new diagnostic tool, a proof of concept study in the field of major depressive disorders},\n volume = {7},\n year = {2017}\n}\n'}",,"{'volume': '7', 'name': 'Scientific Reports'}",39.0,"Virtual human as a new diagnostic tool, a proof of concept study in the field of major depressive disorders",2017.0
1249,6552e28f7520caf27a85e41b89c4199f1175f186,"Following Yik and Russell (1999) a judgement paradigm was used to examine to what extent differential accuracy of recognition of facial expressions allows evaluation of the well-foundedness of different theoretical views on emotional expression. Observers judged photos showing facial expressions of seven emotions on the basis of: (1) discrete emotion categories; (2) social message types; (3) appraisal results; or (4) action tendencies, and rated their confidence in making choices. Emotion categories and appraisals were judged significantly more accurately and confidently than messages or action tendencies. These results do not support claims of primacy for message or action tendency views of facial expression. Based on a componential model of emotion it is suggested that judges can infer components from categories and vice versa.","[{'authorId': '2462740', 'name': 'K. Scherer'}, {'authorId': '1797080', 'name': 'D. Grandjean'}]",124.0,"{'bibtex': '@Article{Scherer2008FacialEA,\n author = {K. Scherer and D. Grandjean},\n journal = {Cognition and Emotion},\n pages = {789 - 801},\n title = {Facial expressions allow inference of both emotions and their components},\n volume = {22},\n year = {2008}\n}\n'}",,"{'volume': '22', 'pages': '789 - 801', 'name': 'Cognition and Emotion'}",28.0,Facial expressions allow inference of both emotions and their components,2008.0
1250,655ba8740546ad401d201199cb871e2dac355dd3,,"[{'authorId': '3032876', 'name': 'H. Bibby'}, {'authorId': '143982280', 'name': 'S. McDonald'}]",235.0,"{'bibtex': '@Article{Bibby2005TheoryOM,\n author = {H. Bibby and S. McDonald},\n journal = {Neuropsychologia},\n pages = {99-114},\n title = {Theory of mind after traumatic brain injury},\n volume = {43},\n year = {2005}\n}\n'}",,"{'volume': '43', 'pages': '99-114', 'name': 'Neuropsychologia'}",64.0,Theory of mind after traumatic brain injury,2005.0
1251,6581b0470b1ce3ab4329c595ff0b3aaff85eba5a,"Despite much research on the function of the insular cortex, few studies have investigated functional subdivisions of the insula in humans. The present study used resting-state functional connectivity magnetic resonance imaging (MRI) to parcellate the human insular lobe based on clustering of functional connectivity patterns. Connectivity maps were computed for each voxel in the insula based on resting-state functional MRI (fMRI) data and segregated using cluster analysis. We identified 3 insular subregions with distinct patterns of connectivity: a posterior region, functionally connected with primary and secondary somatomotor cortices; a dorsal anterior to middle region, connected with dorsal anterior cingulate cortex, along with other regions of a previously described control network; and a ventral anterior region, primarily connected with pregenual anterior cingulate cortex. Applying these regions to a separate task data set, we found that dorsal and ventral anterior insula responded selectively to disgusting images, while posterior insula did not. These results demonstrate that clustering of connectivity patterns can be used to subdivide cerebral cortex into anatomically and functionally meaningful subregions; the insular regions identified here should be useful in future investigations on the function of the insula.","[{'authorId': '2305032', 'name': 'Ben Deen'}, {'authorId': '2273865', 'name': 'Naomi B. Pitskel'}, {'authorId': '9765768', 'name': 'K. Pelphrey'}]",611.0,"{'bibtex': '@Article{Deen2010ThreeSO,\n author = {Ben Deen and Naomi B. Pitskel and K. Pelphrey},\n journal = {Cerebral Cortex (New York, NY)},\n pages = {1498 - 1506},\n title = {Three Systems of Insular Functional Connectivity Identified with Cluster Analysis},\n volume = {21},\n year = {2010}\n}\n'}",,"{'volume': '21', 'pages': '1498 - 1506', 'name': 'Cerebral Cortex (New York, NY)'}",84.0,Three Systems of Insular Functional Connectivity Identified with Cluster Analysis,2010.0
1252,658dac82a4f292ecd7c631c6a61408db75f05d07,. The uncanny valley is a phenomenon first described in 1970 by Masahiro Mori. It characterizes the correlation between the degree of human likeness of e,"[{'authorId': '2249341176', 'name': 'Lisa Bode'}]",1891.0,"{'bibtex': '@Article{Bode2019TheUV,\n author = {Lisa Bode},\n journal = {The Animation Studies Reader},\n title = {The Uncanny Valley},\n year = {2019}\n}\n'}",,{'name': 'The Animation Studies Reader'},13.0,The Uncanny Valley,2019.0
1254,658ec0b77341a806846c395edcc561bc42892c08,,"[{'authorId': '3213354', 'name': 'B. Gelder'}]",34.0,"{'bibtex': '@Inproceedings{Gelder2016EmotionsAT,\n author = {B. Gelder},\n title = {Emotions and the Body},\n year = {2016}\n}\n'}",,"{'volume': '', 'name': ''}",0.0,Emotions and the Body,2016.0
1255,65c9b2cdf9ba8ba5696170a82fb5465ff1c3d4ea,,"[{'authorId': '32201536', 'name': 'S. Moubayed'}, {'authorId': '1826819', 'name': 'J. Beskow'}, {'authorId': '1711959', 'name': 'Gabriel Skantze'}, {'authorId': '144966453', 'name': 'B. Granström'}]",247.0,"{'bibtex': '@Inproceedings{Moubayed2011FurhatAB,\n author = {S. Moubayed and J. Beskow and Gabriel Skantze and B. Granström},\n pages = {114-130},\n title = {Furhat: A Back-Projected Human-Like Robot Head for Multiparty Human-Machine Interaction},\n year = {2011}\n}\n'}",,{'pages': '114-130'},25.0,Furhat: A Back-Projected Human-Like Robot Head for Multiparty Human-Machine Interaction,2011.0
1256,660ed33f065a45527a0d3d3641cba5f54752d479,"Abstract Eye contact plays a critical role in many aspects of face processing, including the processing of smiles. We propose that this is achieved by a subcortical route, which is activated by eye contact and modulates the cortical areas involve in social cognition, including the processing of facial expression. This mechanism could be impaired in individuals with autism spectrum disorders.","[{'authorId': '1986858', 'name': 'P. Niedenthal'}, {'authorId': '2634712', 'name': 'M. Mermillod'}, {'authorId': '40152862', 'name': 'M. Maringer'}, {'authorId': '3067657', 'name': 'U. Hess'}]",491.0,"{'bibtex': '@Article{Niedenthal2010IsEC,\n author = {P. Niedenthal and M. Mermillod and M. Maringer and U. Hess},\n journal = {Behavioral and Brain Sciences},\n pages = {458 - 459},\n title = {Is eye contact the key to the social brain?},\n volume = {33},\n year = {2010}\n}\n'}",,"{'volume': '33', 'pages': '458 - 459', 'name': 'Behavioral and Brain Sciences'}",663.0,Is eye contact the key to the social brain?,2010.0
1258,6623524f5b3538dd15c6b618ad00c670597ffbf5,,"[{'authorId': '5099321', 'name': 'S. Mineka'}, {'authorId': '5860536', 'name': 'Eshkol Rafaeli'}, {'authorId': '35189498', 'name': 'Iftah Yovel'}]",71.0,"{'bibtex': '@Inproceedings{Mineka2003CognitiveBI,\n author = {S. Mineka and Eshkol Rafaeli and Iftah Yovel},\n title = {Cognitive biases in emotional disorders: Information processing and social-cognitive perspectives: Series in Affective Science},\n year = {2003}\n}\n'}",,"{'volume': '', 'name': ''}",0.0,Cognitive biases in emotional disorders: Information processing and social-cognitive perspectives: Series in Affective Science,2003.0
1259,663bc6fbd59fbcf97a646de81d1419eddc79b66c,"In contrast to this view, recent theoretical advances in brain imaging have revealed that the brain is an organ continually built and re-built by one's experience. We are now beginning to learn that many forms of psychotherapy, developed in the absence of any scientific understanding of the brain, are supported by neuroscientific findings. In fact, it could be argued that to be an effective psychotherapist these days it is essential to have some basic understanding of neuroscience. Louis Cozolino's The Neuroscience of Psychotherapy, Second Edition is the perfect place to start. In a beautifully written and accessible synthesis, Cozolino illustrates how the brain's architecture is related to the problems, passions, and aspirations of human beings. As the book so elegantly argues, all forms of psychotherapy--from psychoanalysis to behavioral interventions--are successful to the extent to which they enhance change in relevant neural circuits. Beginning with an overview of the intersecting fields of neuroscience and psychotherapy, this book delves into the brain's inner workings, from basic neuronal building blocks to complex systems of memory, language, and the organization of experience. It continues by explaining the development and organization of the healthy brain and the unhealthy brain. Common problems such as anxiety, trauma, and codependency are discussed from a scientific and clinical perspective. Throughout the book, the science behind the brain's working is applied to day-to-day experience and clinical practice. Written for psychotherapists and others interested in the relationship between brain and behavior, this book encourages us to consider the brain when attempting to understand human development, mental illness, and psychological health. Fully and thoroughly updated with the many neuroscientific developments that have happened in the eight years since the publication of the first edition, this revision to the bestselling book belongs on the shelf of all practitioners.","[{'authorId': '4571106', 'name': 'L. Cozolino'}]",58.0,"{'bibtex': '@Inproceedings{Cozolino2017TheNO,\n author = {L. Cozolino},\n title = {The Neuroscience of Psychotherapy: Healing the Social Brain},\n year = {2017}\n}\n'}",,"{'volume': '', 'name': ''}",0.0,The Neuroscience of Psychotherapy: Healing the Social Brain,2017.0
1260,6673d412dc7a29d796693ef60cc5dc87cbc2eb6e,,"[{'authorId': '38546866', 'name': 'H. Ross'}]",1091.0,"{'bibtex': '@Article{Ross1964PrinciplesON,\n author = {H. Ross},\n journal = {Systematic Biology},\n pages = {106-108},\n title = {Principles of Numerical Taxonomy},\n volume = {13},\n year = {1964}\n}\n'}",,"{'volume': '13', 'pages': '106-108', 'name': 'Systematic Biology'}",0.0,Principles of Numerical Taxonomy,1964.0
1261,66a78ea7d0240ffb80826eebc9360270ed637826,,"[{'authorId': '2245673', 'name': 'A. Duchowski'}]",2372.0,"{'bibtex': '@Inproceedings{Duchowski2003EyeTM,\n author = {A. Duchowski},\n pages = {I-XVII, 1-251},\n title = {Eye Tracking Methodology: Theory and Practice},\n year = {2003}\n}\n'}",,"{'pages': 'I-XVII, 1-251'}",52.0,Eye Tracking Methodology: Theory and Practice,2003.0
1262,66ac496a44e8c80784b09b0db1d210d61178af9a,,"[{'authorId': '6662654', 'name': 'J. Lanzetta'}, {'authorId': '1889669', 'name': 'B. Englis'}]",376.0,"{'bibtex': ""@Article{Lanzetta1989ExpectationsOC,\n author = {J. Lanzetta and B. Englis},\n journal = {Journal of Personality and Social Psychology},\n pages = {543-554},\n title = {Expectations of Cooperation and Competition and Their Effects on Observers' Vicarious Emotional Responses},\n volume = {56},\n year = {1989}\n}\n""}",,"{'volume': '56', 'pages': '543-554', 'name': 'Journal of Personality and Social Psychology'}",53.0,Expectations of Cooperation and Competition and Their Effects on Observers' Vicarious Emotional Responses,1989.0
1263,675bb798f0cf542c0e10687c39482a8ff7e3318a,"In this paper, we present the SemEval-2019 Task 3 - EmoContext: Contextual Emotion Detection in Text. Lack of facial expressions and voice modulations make detecting emotions in text a challenging problem. For instance, as humans, on reading “Why don’t you ever text me!” we can either interpret it as a sad or angry emotion and the same ambiguity exists for machines. However, the context of dialogue can prove helpful in detection of the emotion. In this task, given a textual dialogue i.e. an utterance along with two previous turns of context, the goal was to infer the underlying emotion of the utterance by choosing from four emotion classes - Happy, Sad, Angry and Others. To facilitate the participation in this task, textual dialogues from user interaction with a conversational agent were taken and annotated for emotion classes after several data processing steps. A training data set of 30160 dialogues, and two evaluation data sets, Test1 and Test2, containing 2755 and 5509 dialogues respectively were released to the participants. A total of 311 teams made submissions to this task. The final leader-board was evaluated on Test2 data set, and the highest ranked submission achieved 79.59 micro-averaged F1 score. Our analysis of systems submitted to the task indicate that Bi-directional LSTM was the most common choice of neural architecture used, and most of the systems had the best performance for the Sad emotion class, and the worst for the Happy emotion class.","[{'authorId': '2463157', 'name': 'Ankush Chatterjee'}, {'authorId': '34749306', 'name': 'Kedhar Nath Narahari'}, {'authorId': '1651892966', 'name': 'Meghana Joshi'}, {'authorId': '2067432800', 'name': 'Puneet Agrawal'}]",201.0,"{'bibtex': '@Inproceedings{Chatterjee2019SemEval2019T3,\n author = {Ankush Chatterjee and Kedhar Nath Narahari and Meghana Joshi and Puneet Agrawal},\n pages = {39-48},\n title = {SemEval-2019 Task 3: EmoContext Contextual Emotion Detection in Text},\n year = {2019}\n}\n'}",,{'pages': '39-48'},46.0,SemEval-2019 Task 3: EmoContext Contextual Emotion Detection in Text,2019.0
1264,67677fe62a14fa172606853b2e1d0e4d5d37d199,,"[{'authorId': '3065464', 'name': 'A. V. D. Pütten'}, {'authorId': '39546611', 'name': 'F. P. Schulte'}, {'authorId': '2374750', 'name': 'S. Eimler'}, {'authorId': '3163828', 'name': 'Sabrina Sobieraj'}, {'authorId': '3689632', 'name': 'Laura Hoffmann'}, {'authorId': '2148765', 'name': 'S. Maderwald'}, {'authorId': '145386353', 'name': 'M. Brand'}, {'authorId': '1750852', 'name': 'N. Krämer'}]",114.0,"{'bibtex': '@Article{Pütten2014InvestigationsOE,\n author = {A. V. D. Pütten and F. P. Schulte and S. Eimler and Sabrina Sobieraj and Laura Hoffmann and S. Maderwald and M. Brand and N. Krämer},\n journal = {Comput. Hum. Behav.},\n pages = {201-212},\n title = {Investigations on empathy towards humans and robots using fMRI},\n volume = {33},\n year = {2014}\n}\n'}",,"{'volume': '33', 'pages': '201-212', 'name': 'Comput. Hum. Behav.'}",83.0,Investigations on empathy towards humans and robots using fMRI,2014.0
1265,67ab08815dc8cb850e4464b878beeed989b10250,"A new model of the visual search process is developed which can improve the design of large symbol sets such as those used by nuclear power plant personnel, air traffic controllers, and battlefield troops. An experiment was conducted to determine whether the new, componential model or an already existing, discriminability model better explains visual search behavior. The results were consistent with the componential model. We show how to use the componential model to help automate selection of the optimal symbol set (i.e., the symbol set that minimizes the average time to find a target).","[{'authorId': '2024442', 'name': 'D. Fisher'}, {'authorId': '2060642430', 'name': 'Nancy S. Tanner'}]",31.0,"{'bibtex': '@Article{Fisher1992OptimalSS,\n author = {D. Fisher and Nancy S. Tanner},\n journal = {Human Factors: The Journal of Human Factors and Ergonomics Society},\n pages = {79 - 95},\n title = {Optimal Symbol Set Selection: A Semiautomated Procedure},\n volume = {34},\n year = {1992}\n}\n'}",,"{'volume': '34', 'pages': '79 - 95', 'name': 'Human Factors: The Journal of Human Factors and Ergonomics Society'}",19.0,Optimal Symbol Set Selection: A Semiautomated Procedure,1992.0
1266,67dccc9a856b60bdc4d058d83657a089b8ad4486,"We investigate architectures of discriminatively trained deep Convolutional Networks (ConvNets) for action recognition in video. The challenge is to capture the complementary information on appearance from still frames and motion between frames. We also aim to generalise the best performing hand-crafted features within a data-driven learning framework. 
 
Our contribution is three-fold. First, we propose a two-stream ConvNet architecture which incorporates spatial and temporal networks. Second, we demonstrate that a ConvNet trained on multi-frame dense optical flow is able to achieve very good performance in spite of limited training data. Finally, we show that multitask learning, applied to two different action classification datasets, can be used to increase the amount of training data and improve the performance on both. Our architecture is trained and evaluated on the standard video actions benchmarks of UCF-101 and HMDB-51, where it is competitive with the state of the art. It also exceeds by a large margin previous attempts to use deep nets for video classification.","[{'authorId': '34838386', 'name': 'K. Simonyan'}, {'authorId': '1688869', 'name': 'Andrew Zisserman'}]",6744.0,"{'bibtex': '@Article{Simonyan2014TwoStreamCN,\n author = {K. Simonyan and Andrew Zisserman},\n journal = {ArXiv},\n title = {Two-Stream Convolutional Networks for Action Recognition in Videos},\n volume = {abs/1406.2199},\n year = {2014}\n}\n'}",,"{'volume': 'abs/1406.2199', 'name': 'ArXiv'}",33.0,Two-Stream Convolutional Networks for Action Recognition in Videos,2014.0
1267,67e088e6c2759485f443e6cd20d57c1d18dbbee4,"Research on the neural bases of emotion raises much controversy and few quantitative models exist that can help address the issues raised. Here we replicate and dissect one of those models, Armony and colleagues’ neurocomputational model of fear conditioning, which is based on LeDoux's dual-route hypothesis regarding the rat fear circuitry. The importance of the model's modular abstraction of the neuroanatomy, its use of population coding, and in particular the interplay between thalamo-amygdala and thalamo-cortical pathways are tested. We show that a trivially minimal version of the model can produce conditioning to a reinforced stimulus without recourse to the dual pathway structure, but a modification of the original model, which nevertheless preserves the thalamo-amygdala and (reduced) thalamo-cortical pathways, enables stronger conditioning to a conditioned stimulus. Implications for neurocomputational modelling approaches are discussed.","[{'authorId': '145094762', 'name': 'Robert J. Lowe'}, {'authorId': '72525901', 'name': 'M. Humphries'}, {'authorId': '2491309', 'name': 'T. Ziemke'}]",21.0,"{'bibtex': '@Article{Lowe2009TheDH,\n author = {Robert J. Lowe and M. Humphries and T. Ziemke},\n journal = {Connection Science},\n pages = {15 - 37},\n title = {The dual-route hypothesis: evaluating a neurocomputational model of fear conditioning in rats},\n volume = {21},\n year = {2009}\n}\n'}",,"{'volume': '21', 'pages': '15 - 37', 'name': 'Connection Science'}",58.0,The dual-route hypothesis: evaluating a neurocomputational model of fear conditioning in rats,2009.0
1268,6814d976154b17e41bc79f8694e2372534e50419,,"[{'authorId': '3442630', 'name': 'F. Faul'}, {'authorId': '3391328', 'name': 'E. Erdfelder'}, {'authorId': '123362370', 'name': 'Albert-Georg Lang'}, {'authorId': '39826407', 'name': 'A. Buchner'}]",39973.0,"{'bibtex': '@Article{Faul2007GPower3A,\n author = {F. Faul and E. Erdfelder and Albert-Georg Lang and A. Buchner},\n journal = {Behavior Research Methods},\n pages = {175-191},\n title = {G*Power 3: A flexible statistical power analysis program for the social, behavioral, and biomedical sciences},\n volume = {39},\n year = {2007}\n}\n'}",,"{'volume': '39', 'pages': '175-191', 'name': 'Behavior Research Methods'}",86.0,"G*Power 3: A flexible statistical power analysis program for the social, behavioral, and biomedical sciences",2007.0
1269,681c4a01bcc3deb78491fae30b196afa7fe9e458,,"[{'authorId': '1812107', 'name': 'J. Bentahar'}, {'authorId': '1727720', 'name': 'B. Moulin'}, {'authorId': '1399443272', 'name': 'B. Chaib-draa'}]",28.0,"{'bibtex': '@Inproceedings{Bentahar2004SpecifyingAI,\n author = {J. Bentahar and B. Moulin and B. Chaib-draa},\n pages = {130-148},\n title = {Specifying and Implementing a Persuasion Dialogue Game Using Commitments and Arguments},\n year = {2004}\n}\n'}",,{'pages': '130-148'},39.0,Specifying and Implementing a Persuasion Dialogue Game Using Commitments and Arguments,2004.0
1270,68385c20a25aea16a54bbaad4f4230a892c010c6,"A major goal of research on virtual humans is the animation of expressive characters that display distinct psychological attributes. Body motion is an effective way of portraying different personalities and differentiating characters. The purpose and contribution of this work is to describe a formal, broadly applicable, procedural, and empirically grounded association between personality and body motion and apply this association to modify a given virtual human body animation that can be represented by these formal concepts. Because the body movement of virtual characters may involve different choices of parameter sets depending on the context, situation, or application, formulating a link from personality to body motion requires an intermediate step to assist generalization. For this intermediate step, we refer to Laban Movement Analysis, which is a movement analysis technique for systematically describing and evaluating human motion. We have developed an expressive human motion generation system with the help of movement experts and conducted a user study to explore how the psychologically validated OCEAN personality factors were perceived in motions with various Laban parameters. We have then applied our findings to procedurally animate expressive characters with personality, and validated the generalizability of our approach across different models and animations via another perception study.","[{'authorId': '2643744', 'name': 'Funda Durupinar'}, {'authorId': '143980997', 'name': 'M. Kapadia'}, {'authorId': '2047954359', 'name': 'Susan Deutsch'}, {'authorId': '143687087', 'name': 'Michael Neff'}, {'authorId': '1699200', 'name': 'N. Badler'}]",50.0,"{'bibtex': '@Article{Durupinar2016PerformPA,\n author = {Funda Durupinar and M. Kapadia and Susan Deutsch and Michael Neff and N. Badler},\n journal = {ACM Trans. Graph.},\n title = {Perform: perceptual approach for adding OCEAN personality to human motion using laban movement analysis},\n volume = {36},\n year = {2016}\n}\n'}",,"{'volume': '36', 'name': 'ACM Trans. Graph.'}",57.0,Perform: perceptual approach for adding OCEAN personality to human motion using laban movement analysis,2016.0
1272,68642d447018744b30e113d476e03583d83cd82d,,"[{'authorId': '41154117', 'name': 'D. Szczygieł'}, {'authorId': '3868830', 'name': 'J. Buczny'}, {'authorId': '13512301', 'name': 'Róża Bazińska'}]",85.0,"{'bibtex': '@Article{Szczygieł2012EmotionRA,\n author = {D. Szczygieł and J. Buczny and Róża Bazińska},\n journal = {Personality and Individual Differences},\n pages = {433-437},\n title = {Emotion regulation and emotional information processing: The moderating effect of emotional awareness},\n volume = {52},\n year = {2012}\n}\n'}",,"{'volume': '52', 'pages': '433-437', 'name': 'Personality and Individual Differences'}",28.0,Emotion regulation and emotional information processing: The moderating effect of emotional awareness,2012.0
1273,686cfc59a276e9b209aa241361c67ec37d4afe5f,"We present a novel approach for analyzing the quality of multi‐agent crowd simulation algorithms. Our approach is data‐driven, taking as input a set of user‐defined metrics and reference training data, either synthetic or from video footage of real crowds. Given a simulation, we formulate the crowd analysis problem as an anomaly detection problem and exploit state‐of‐the‐art outlier detection algorithms to address it. To that end, we introduce a new framework for the visual analysis of crowd simulations. Our framework allows us to capture potentially erroneous behaviors on a per‐agent basis either by automatically detecting outliers based on individual evaluation metrics or by accounting for multiple evaluation criteria in a principled fashion using Principle Component Analysis and the notion of Pareto Optimality. We discuss optimizations necessary to allow real‐time performance on large datasets and demonstrate the applicability of our framework through the analysis of simulations created by several widely‐used methods, including a simulation from a commercial game.","[{'authorId': '39066972', 'name': 'Panayiotis Charalambous'}, {'authorId': '2478994', 'name': 'Ioannis Karamouzas'}, {'authorId': '35170565', 'name': 'S. Guy'}, {'authorId': '1706408', 'name': 'Y. Chrysanthou'}]",51.0,"{'bibtex': '@Article{Charalambous2014ADF,\n author = {Panayiotis Charalambous and Ioannis Karamouzas and S. Guy and Y. Chrysanthou},\n journal = {Computer Graphics Forum},\n title = {A Data‐Driven Framework for Visual Crowd Analysis},\n volume = {33},\n year = {2014}\n}\n'}",,"{'volume': '33', 'name': 'Computer Graphics Forum'}",30.0,A Data‐Driven Framework for Visual Crowd Analysis,2014.0
1275,686e9a849db9e99a84e86652bd2d9cca228dc12e,,"[{'authorId': '46367714', 'name': 'J. Russell'}, {'authorId': '1412884931', 'name': 'J. Fernández-Dols'}]",105.0,"{'bibtex': '@Inproceedings{Russell1997ThePO,\n author = {J. Russell and J. Fernández-Dols},\n title = {The psychology of facial expression: What does a facial expression mean?},\n year = {1997}\n}\n'}",,"{'volume': '', 'name': ''}",0.0,The psychology of facial expression: What does a facial expression mean?,1997.0
1276,687ede32e2fea9408584a2682125a8a378ea17a0,"This paper proposes a modification to the model-free Reinforcement learning algorithm Q-learning. It is implemented to train smart gift shopping-cart learning agents (SGSCLA). The aim of the modification is to empower the learning agent to reaching a goal by making appropriate compromises only. That is the way in which the measure models and emotional models, represented as new agent memory matrixes are introduced. This models show how the user perceives and evaluates the environment. The Shopping Center is represented by a multigraph in which the nodes represent three groups of shops. The edges illustrate the connections between the shops; the primary (major) and the secondary (minor) paths between them and the emotions, evoked in the customer under consideration by a visit to a particular shop. The user can be see the route suggested by the virtual agent and the made compromises to the goal.The emotion types chosen for the purpose of the experiment are boredom, joy and worry. The environment model allow for exploring and predicting the change in the customer’s mood as he/she moves from one shop to another.","[{'authorId': '1799528', 'name': 'D. Budakova'}, {'authorId': '1581448954', 'name': 'Veselka Petrova-Dimitrova'}, {'authorId': '1753312', 'name': 'L. Dakovski'}]",1.0,"{'bibtex': '@Article{Budakova2020VirtualAL,\n author = {D. Budakova and Veselka Petrova-Dimitrova and L. Dakovski},\n journal = {Computer Science},\n title = {Virtual Agents, Learning How to Reach a Goal by Making Appropriate Compromises},\n year = {2020}\n}\n'}","[{'paperId': 'd696912be0427bd5dade666658b05652a7a0c8ee', 'title': 'Virtual Agent Behavior Modeling in Case of a Risky Situation in a Virtual Electrical Substation'}]","{'name': 'Computer Science', 'volume': ''}",15.0,"Virtual Agents, Learning How to Reach a Goal by Making Appropriate Compromises",2020.0
1277,68ae872c5e7cf31d6950d91fd902c5c42f5dee6b,"To date, the field of emotion regulation (ER) has largely focused on intrinsic ER (i.e., regulation of one's own emotions) and has only recently started to investigate extrinsic ER (i.e., regulation of another person's emotions). This article selectively reviews current findings in order to answer the following questions: (a) What is extrinsic ER, and how can it be distinguished from related constructs such as emotion contagion, empathy, prosocial behavior, and social support? (b) How can we best model the processes through which extrinsic ER occurs as well as individual differences in extrinsic ER ability? The answers show that although extrinsic ER has much in common with intrinsic ER, the 2 cannot be equated. Research is therefore needed on the extrinsic side of ER. (PsycINFO Database Record (c) 2020 APA, all rights reserved).","[{'authorId': '6919876', 'name': 'Y. Nozaki'}, {'authorId': '5342207', 'name': 'Moïra Mikolajczak'}]",39.0,"{'bibtex': '@Article{Nozaki2019ExtrinsicER,\n author = {Y. Nozaki and Moïra Mikolajczak},\n journal = {Emotion},\n pages = {\n          10-15\n        },\n title = {Extrinsic emotion regulation.},\n volume = {20 1},\n year = {2019}\n}\n'}",,"{'volume': '20 1', 'pages': '\n          10-15\n        ', 'name': 'Emotion'}",38.0,Extrinsic emotion regulation.,2019.0
1278,68b9d8fe795e71905b2f646e8a5bbb52c145369c,"This paper describes the IVI Lab entry to the GENEA Challenge 2022. We formulate the gesture generation problem as a sequence-to-sequence conversion task with text, audio, and speaker identity as inputs and the body motion as the output. We use the Tacotron2 architecture as our backbone with the locality-constraint attention mechanism that guides the decoder to learn the dependencies from the neighboring latent features. The collective evaluation released by GENEA Challenge 2022 indicates that our two entries (FSH and USK) for the full body and upper body tracks statistically outperform the audio-driven and text-driven baselines on both two subjective metrics. Remarkably, our full-body entry receives the highest speech appropriateness (60.5% matched) among all submitted entries. We also conduct an objective evaluation to compare our motion acceleration and jerk with two autoregressive baselines. The result indicates that the motion distribution of our generated gestures is much closer to the distribution of natural gestures.","[{'authorId': '2152342254', 'name': 'Che-Jui Chang'}, {'authorId': '2175553614', 'name': 'Sen Zhang'}, {'authorId': '143980996', 'name': 'Mubbasir Kapadia'}]",17.0,"{'bibtex': '@Article{Chang2022TheIL,\n author = {Che-Jui Chang and Sen Zhang and Mubbasir Kapadia},\n journal = {Proceedings of the 2022 International Conference on Multimodal Interaction},\n title = {The IVI Lab entry to the GENEA Challenge 2022 – A Tacotron2 Based Method for Co-Speech Gesture Generation With Locality-Constraint Attention Mechanism},\n year = {2022}\n}\n'}",,{'name': 'Proceedings of the 2022 International Conference on Multimodal Interaction'},25.0,The IVI Lab entry to the GENEA Challenge 2022 – A Tacotron2 Based Method for Co-Speech Gesture Generation With Locality-Constraint Attention Mechanism,2022.0
